Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0425846243209965,-2.47539319042534E-06,0.0343411364228394,0,0,0,3.28881705164235,0.0801348289681297,1.53883455963464E-06,0.00598631002688133,0.153009273635093,-9.23294996491064E-08,0.22692883677298,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,,main_chassis-1,base_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_suspension_link,5.54822917437478E-16,-0.0099999999999999,-0.0694587181319961,0,0,0,1.06265478187723,0.00062527380023011,-3.24760076195485E-18,1.03706541173892E-17,0.114077452687201,-4.63540498214204E-19,0.113772909777021,0,0,0,0,0,0,package://robot_description/meshes/left_suspension_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/left_suspension_link.STL,,dummy_susp-1,LS_CS,LS_axis,left_suspension_joint,revolute,-0.0735645089533979,0.302,0.045,0,0,0,base_link,0,1,0,0,0,-0.26,0.26,,,,,,,,
FL_mount_link,-1.19099341500117E-10,0.0718161039332217,-0.105477117572239,0,0,0,1.45339450705136,0.00590763326193611,-1.15966243385262E-12,1.92841485655359E-11,0.00567865668492067,0.00155408976110303,0.00220259848128511,0,0,0,0,0,0,package://robot_description/meshes/FL_mount_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://robot_description/meshes/FL_mount_link.STL,,steering_plate_dummy-1,FLM_CS,FLM_axis,FL_mount_joint,revolute,0.445,-0.00999999999999995,-0.100434071104698,0,0,0,left_suspension_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
FL_wheel_link,2.22044604925031E-16,-0.076796461579196,-3.19189119579733E-16,0,0,0,3.04031822118871,0.0129613644614321,-2.08515445176801E-17,-5.59904486355141E-18,0.0185626847521411,1.8983235568989E-17,0.0129613644614321,0,0,0,0,0,0,package://robot_description/meshes/FL_wheel_link.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://robot_description/meshes/FL_wheel_link.STL,,Copy of dummy_wheel^final1-3,FL_CS,FL_axis,FL_wheel_joint,continuous,0,0.0770000000000005,-0.135551362635287,0,0,0,FL_mount_link,0,-1,0,,,,,,,,,,,,
BL_mount_link,-1.19098730877454E-10,0.0718161039332215,-0.10547711757224,0,0,0,1.45339450705137,0.0059076332619361,-1.15966515598164E-12,1.92841584208355E-11,0.00567865668492066,0.00155408976110301,0.0022025984812851,0,0,0,0,0,0,package://robot_description/meshes/BL_mount_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://robot_description/meshes/BL_mount_link.STL,,steering_plate_dummy-2,BLM_CS,BLM_axis,BL_mount_joint,revolute,-0.445,-0.00999999999999995,-0.100434071104698,0,0,0,left_suspension_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
BL_wheel_link,-2.22044604925031E-16,-0.076796461579196,-3.05311331771918E-16,0,0,0,3.04031822118871,0.0129613644614321,2.00359434467741E-17,-6.26401561445551E-18,0.0185626847521411,1.96638798908523E-17,0.0129613644614321,0,0,0,0,0,0,package://robot_description/meshes/BL_wheel_link.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://robot_description/meshes/BL_wheel_link.STL,,Copy of dummy_wheel^final1-4,BL_CS,BL_axis,BL_wheel_joint,continuous,0,0.0770000000000001,-0.135551362635287,0,0,0,BL_mount_link,0,-1,0,,,,,,,,,,,,
right_suspension_link,-5.75141269841096E-16,0.0099999999999999,-0.0694587181319961,0,0,0,1.06265478187723,0.000625273800230108,-3.24678730201199E-18,-1.11324422929011E-17,0.114077452687201,4.80110148330914E-19,0.113772909777021,0,0,0,0,0,0,package://robot_description/meshes/right_suspension_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/right_suspension_link.STL,,dummy_susp-2,RS_CS,RS_axis,right_suspension_joint,revolute,-0.0735645089533979,-0.302,0.045,0,0,0,base_link,0,1,0,0,0,-0.26,0.26,,,,,,,,
FR_mount_link,1.19098786388605E-10,-0.0718161039332219,-0.105477117572239,0,0,0,1.45339450705137,0.0059076332619361,-1.15966503998925E-12,-1.92841577462866E-11,0.00567865668492066,-0.00155408976110302,0.0022025984812851,0,0,0,0,0,0,package://robot_description/meshes/FR_mount_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://robot_description/meshes/FR_mount_link.STL,,steering_plate_dummy-4,FRM_CS,FRM_axis,FR_mount_joint,revolute,0.445,0.00999999999999995,-0.100434071104698,0,0,0,right_suspension_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
FR_wheel_link,1.11022302462516E-16,0.076796461579196,-2.77555756156289E-16,0,0,0,3.04031822118871,0.0129613644614321,1.81197352548942E-17,-1.61465655570351E-18,0.0185626847521411,-1.92923072004548E-17,0.0129613644614321,0,0,0,0,0,0,package://robot_description/meshes/FR_wheel_link.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://robot_description/meshes/FR_wheel_link.STL,,Copy of dummy_wheel^final1-2,FR_CS,FR_axis,FR_wheel_joint,continuous,0,-0.0770000000000005,-0.135551362635287,0,0,0,FR_mount_link,0,1,0,,,,,,,,,,,,
BR_mount_link,1.19099341500117E-10,-0.0718161039332206,-0.10547711757224,0,0,0,1.45339450705137,0.0059076332619361,-1.15966173901434E-12,-1.92841484150386E-11,0.00567865668492069,-0.00155408976110299,0.00220259848128507,0,0,0,0,0,0,package://robot_description/meshes/BR_mount_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://robot_description/meshes/BR_mount_link.STL,,steering_plate_dummy-3,BRM_CS,BRM_axis,BR_mount_joint,revolute,-0.445,0.00999999999999995,-0.100434071104698,0,0,0,right_suspension_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
BR_wheel_link,-2.77555756156289E-16,0.076796461579196,-2.63677968348475E-16,0,0,0,3.04031822118871,0.0129613644614321,-2.07755038996784E-17,-4.99793957194217E-18,0.0185626847521411,-1.9962408005107E-17,0.0129613644614321,0,0,0,0,0,0,package://robot_description/meshes/BR_wheel_link.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://robot_description/meshes/BR_wheel_link.STL,,Copy of dummy_wheel^final1-5,BR_CS,BR_axis,BR_wheel_joint,continuous,0,-0.076999999999999,-0.135551362635288,0,0,0,BR_mount_link,0,1,0,,,,,,,,,,,,
